group,model,varied_parameter,varied_value,a,b,tau,L,N,density,mean_velocity,std_velocity
C_tau_sensitivity,HardBodyModel,tau,0.3,0.36,0.56,0.3,17.3,10,0.5780346820809248,1.2188721142739796,0.038339876922393906
C_tau_sensitivity,HardBodyModel,tau,0.3,0.36,0.56,0.3,17.3,20,1.1560693641618496,0.5112345730995587,0.05583862750353673
C_tau_sensitivity,HardBodyModel,tau,0.3,0.36,0.56,0.3,17.3,30,1.7341040462427746,0.20141930308297396,0.021321872911155424
C_tau_sensitivity,HardBodyModel,tau,0.3,0.36,0.56,0.3,17.3,40,2.312138728323699,0.06467286880941674,0.006289769123517631
C_tau_sensitivity,HardBodyModel,tau,0.61,0.36,0.56,0.61,17.3,10,0.5780346820809248,1.1665196544141179,0.0467391869271164
C_tau_sensitivity,HardBodyModel,tau,0.61,0.36,0.56,0.61,17.3,20,1.1560693641618496,0.4841603593567225,0.04837852977966381
C_tau_sensitivity,HardBodyModel,tau,0.61,0.36,0.56,0.61,17.3,30,1.7341040462427746,0.19808542332141765,0.019912779999227907
C_tau_sensitivity,HardBodyModel,tau,0.61,0.36,0.56,0.61,17.3,40,2.312138728323699,0.0647941009236744,0.005779999731924474
C_tau_sensitivity,HardBodyModel,tau,1.0,0.36,0.56,1.0,17.3,10,0.5780346820809248,1.1492949103089438,0.09989786062482893
C_tau_sensitivity,HardBodyModel,tau,1.0,0.36,0.56,1.0,17.3,20,1.1560693641618496,0.4630869788722186,0.05199068458155899
C_tau_sensitivity,HardBodyModel,tau,1.0,0.36,0.56,1.0,17.3,30,1.7341040462427746,0.19421936788107305,0.018284098202422425
C_tau_sensitivity,HardBodyModel,tau,1.0,0.36,0.56,1.0,17.3,40,2.312138728323699,0.06453653107162738,0.006180030403182895
